,year,actual_values,age,target,model
0,2001,0.0,26,,
1,2007,32088.0,32,,
2,2008,39919.0,33,,
3,2009,38403.0,34,,
4,2010,58522.0,35,,
5,2011,70531.0,36,,
6,2012,86456.0,37,,
7,2013,106354.0,38,,
8,2014,124467.0,39,,
9,2015,148801.0,40,,
10,2016,170160.0,41,,
11,2017,207485.0,42,,
12,2018,315362.67026758,43,,
13,2019,387569.8570876129,44,,
14,2020,504635.01244898164,45,,
15,2021,518222.84552072996,46,,
16,2022,530045.8787404384,47,,
17,2023,545671.6066214967,48,,
18,2024,585622.5219371216,49,,
19,2025,,50,,
20,2026,,51,,
21,2027,,52,,
22,2028,,53,,
23,2029,,54,,
24,2030,,55,,
25,2031,,56,,
26,2032,,57,,
27,2033,,58,,
28,2034,,59,,
29,2035,,60,,
30,2036,,61,,
31,2037,,62,,
32,2038,,63,,
33,2039,,64,,
34,2040,,65,,
35,2041,,66,,
36,2042,,67,,
37,2043,,68,,
38,2044,,69,,
39,2045,,70,,
40,2046,,71,,
41,2047,,72,,
42,2048,,73,,
43,2049,,74,,
44,2050,,75,,
